Series ID,Year,Period,Label,Value
SUUR0000SAT,2012,M08,2012 Aug,147.703
SUUR0000SAT,2012,M09,2012 Sep,149.270
SUUR0000SAT,2012,M10,2012 Oct,148.274
SUUR0000SAT,2012,M11,2012 Nov,144.698
SUUR0000SAT,2012,M12,2012 Dec,142.920
SUUR0000SAT,2013,M01,2013 Jan,143.239
SUUR0000SAT,2013,M02,2013 Feb,148.114
SUUR0000SAT,2013,M03,2013 Mar,149.132
SUUR0000SAT,2013,M04,2013 Apr,147.692
SUUR0000SAT,2013,M05,2013 May,148.155
SUUR0000SAT,2013,M06,2013 Jun,148.453
SUUR0000SAT,2013,M07,2013 Jul,148.324
SUUR0000SAT,2013,M08,2013 Aug,147.862
SUUR0000SAT,2013,M09,2013 Sep,147.098
SUUR0000SAT,2013,M10,2013 Oct,145.144
SUUR0000SAT,2013,M11,2013 Nov,143.813
SUUR0000SAT,2013,M12,2013 Dec,143.878
SUUR0000SAT,2014,M01,2014 Jan,144.210
SUUR0000SAT,2014,M02,2014 Feb,145.006
SUUR0000SAT,2014,M03,2014 Mar,147.664
SUUR0000SAT,2014,M04,2014 Apr,149.996
SUUR0000SAT,2014,M05,2014 May,150.884
SUUR0000SAT,2014,M06,2014 Jun,150.992
SUUR0000SAT,2014,M07,2014 Jul,149.896
SUUR0000SAT,2014,M08,2014 Aug,147.649
SUUR0000SAT,2014,M09,2014 Sep,146.420
SUUR0000SAT,2014,M10,2014 Oct,143.956
SUUR0000SAT,2014,M11,2014 Nov,140.021
SUUR0000SAT,2014,M12,2014 Dec,135.186
SUUR0000SAT,2015,M01,2015 Jan,129.128
SUUR0000SAT,2015,M02,2015 Feb,131.442
SUUR0000SAT,2015,M03,2015 Mar,135.461
SUUR0000SAT,2015,M04,2015 Apr,136.135
SUUR0000SAT,2015,M05,2015 May,139.908
SUUR0000SAT,2015,M06,2015 Jun,140.931
SUUR0000SAT,2015,M07,2015 Jul,140.250
SUUR0000SAT,2015,M08,2015 Aug,137.884
SUUR0000SAT,2015,M09,2015 Sep,134.390
SUUR0000SAT,2015,M10,2015 Oct,133.062
SUUR0000SAT,2015,M11,2015 Nov,132.077
SUUR0000SAT,2015,M12,2015 Dec,130.283
SUUR0000SAT,2016,M01,2016 Jan,129.298
SUUR0000SAT,2016,M02,2016 Feb,126.838
SUUR0000SAT,2016,M03,2016 Mar,130.043
SUUR0000SAT,2016,M04,2016 Apr,133.047
SUUR0000SAT,2016,M05,2016 May,135.190
SUUR0000SAT,2016,M06,2016 Jun,136.312
SUUR0000SAT,2016,M07,2016 Jul,133.865
SUUR0000SAT,2016,M08,2016 Aug,132.331
SUUR0000SAT,2016,M09,2016 Sep,132.477
SUUR0000SAT,2016,M10,2016 Oct,133.091
SUUR0000SAT,2016,M11,2016 Nov,132.448
SUUR0000SAT,2016,M12,2016 Dec,133.026
SUUR0000SAT,2017,M01,2017 Jan,135.265
SUUR0000SAT,2017,M02,2017 Feb,135.145
SUUR0000SAT,2017,M03,2017 Mar,135.817
SUUR0000SAT,2017,M04,2017 Apr,137.389
SUUR0000SAT,2017,M05,2017 May,137.320
SUUR0000SAT,2017,M06,2017 Jun,136.672
SUUR0000SAT,2017,M07,2017 Jul,135.176
SUUR0000SAT,2017,M08,2017 Aug,135.515
SUUR0000SAT,2017,M09,2017 Sep,137.830
SUUR0000SAT,2017,M10,2017 Oct,136.415
SUUR0000SAT,2017,M11,2017 Nov,137.236
SUUR0000SAT,2017,M12,2017 Dec,136.453
SUUR0000SAT,2018,M01,2018 Jan,137.852
SUUR0000SAT,2018,M02,2018 Feb,139.076
SUUR0000SAT,2018,M03,2018 Mar,139.429
SUUR0000SAT,2018,M04,2018 Apr,141.169
SUUR0000SAT,2018,M05,2018 May,143.121
SUUR0000SAT,2018,M06,2018 Jun,143.497
SUUR0000SAT,2018,M07,2018 Jul,142.992
SUUR0000SAT,2018,M08,2018 Aug,142.407
SUUR0000SAT,2018,M09,2018 Sep,141.423
SUUR0000SAT,2018,M10,2018 Oct,142.111
SUUR0000SAT,2018,M11,2018 Nov,140.232
SUUR0000SAT,2018,M12,2018 Dec,136.726
SUUR0000SAT,2019,M01,2019 Jan,135.234
SUUR0000SAT,2019,M02,2019 Feb,136.463
SUUR0000SAT,2019,M03,2019 Mar,139.382
